"SecondarySubjectID","EnrollmentType","Q5_I had a strong interest in taking this course:_I had a strong interest in taking this course:","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._Learning outcomes for the course were clearly stated.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The learning outcomes were effectively addressed in the course.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._There were constructive interactions between the instructor and the students.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The instructor was accessible for discussions about the course.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._I received feedback that improved my learning in this course.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The course challenged me to do my best work.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._My experience in the course increased my interest in the subject matter.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._Learning outcomes for the course were clearly stated._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The learning outcomes were effectively addressed in the course._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._There were constructive interactions between the instructor and the students._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The instructor was accessible for discussions about the course._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._I received feedback that improved my learning in this course._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The course challenged me to do my best work._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._My experience in the course increased my interest in the subject matter._Comments_QPResp","Q7_For instructor:  <b>[C$FN] [C$LN]</b>_How would you rate the overall effectiveness of the instruction in this course.","Q7_For instructor:  <b>[C$FN] [C$LN]</b>_How would you rate the overall effectiveness of the instruction in this course._Comments_QPResp","Q8_For instructor:  [C$FN] [C$LN]What did you find to be most beneficial about the course?","Q9_For instructor:  [C$FN] [C$LN]What would have made this course more effective for you?"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","I really enjoyed how he would try to make himself available past his office hours.","D/A"
"jcolem27","System","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Uncertain","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","Even though there were just lecture-style classes, they were taught very well and I got a lot out of them.","Not just lectures but actual class participation exercises would've been helpful."
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","D/A","D/A"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","The homework","Making the hardest tests in the homework extra credit instead of part of the homework credit. That way students can get the feedback that they learned the required information about the homework and have the option to improve their algorithms if they have the time."
"jcolem27","System","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","Learning more of the basics of coding after Data Structures is always a plus when it comes to the major/","Maybe giving some more pseudocode when it comes to some of the main topics covered in class? It can be very tricky trying to figure out some of the correlations between it and the material sometimes."
"jcolem27","System","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","The professor made the course super engaging. Offering questions, giving us examples, always visualizing. It helped that it was a small classroom.","Nothing."
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Fair","He would sometime overcomplicates the topic. But recitations made it easier to understand. ","The most beneficial is not mandatory to attend every class, as many classes are just repeats of each other and cover only 20 more minutes of content. ","If he checked his inbox more and recorded his lectures. Sometimes it would have helped just to be able to watch it, even if I was in the class. "
"jcolem27","System","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","The classworks were very effective at reinforcing the topic materials. I almost wanted more classwork exercises to further improve my understanding.","Nothing much."
"jcolem27","System","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Good","D/A","notes being posted","being able to see what I got wrong on hws"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","Amazing","Teaching style","Nothing"
