"SecondarySubjectID","EnrollmentType","Q5_I had a strong interest in taking this course:_I had a strong interest in taking this course:","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._Learning outcomes for the course were clearly stated.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The learning outcomes were effectively addressed in the course.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._There were constructive interactions between the instructor and the students.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The instructor was accessible for discussions about the course.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._I received feedback that improved my learning in this course.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The course challenged me to do my best work.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._My experience in the course increased my interest in the subject matter.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._Learning outcomes for the course were clearly stated._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The learning outcomes were effectively addressed in the course._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._There were constructive interactions between the instructor and the students._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The instructor was accessible for discussions about the course._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._I received feedback that improved my learning in this course._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The course challenged me to do my best work._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._My experience in the course increased my interest in the subject matter._Comments_QPResp","Q7_For instructor:  <b>[C$FN] [C$LN]</b>_How would you rate the overall effectiveness of the instruction in this course.","Q7_For instructor:  <b>[C$FN] [C$LN]</b>_How would you rate the overall effectiveness of the instruction in this course._Comments_QPResp","Q8_For instructor:  [C$FN] [C$LN]What did you find to be most beneficial about the course?","Q9_For instructor:  [C$FN] [C$LN]What would have made this course more effective for you?"
"jcolem27","System","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","D/A","D/A","D/A","D/A","feedback on the cw","D/A","really loved seeing data structures and discrete math being applied, helping me understand it more ","Very Good","D/A","constant review sessions ensure my understanding of each lecture because each topic builds off the other. ","D/A"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","I found the topics taught in this course really challenged me which ultimately, helped improved my learning and understanding of this subject. ","I believe that getting feedback on my HW's would have made this course way more effective for me. I understand not being able to get the full tests after turning in the HW's, but I would have liked to at least get feedback on my work and see what I missed out on. "
"jcolem27","System","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","The way he presented the information in both an interactive and an easily note-takeable format, and then reviewed the last class's material at the beginning of every class, really helped me retain the knowledge, and I feel like I could confidently teach all of the material we have learned, which has not been the case for any other class ive taken ","More coding instruction to bridge the gap between conceptual knowledge and actually coding the algorithms, but I think this is an issue with most computer science classes  "
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","The review at the beginning of each class was great. It is rare that professors take the time to do this and I really felt like it helped me understand the material 10 times better","I do not have any suggestions. The instruction was extremely helpful and I learned as much as I possibly could have"
"jcolem27","System","Agree","Agree","Agree","Strongly Agree","Agree","Uncertain","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","Lesson structure, instructor was very well versed in the subject and could improvise with interesting examples","more interactivity"
"jcolem27","System","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Uncertain","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Good","D/A","Lots of time per assignment to work on them","smaller classroom"
"jcolem27","System","Disagree","Uncertain","Agree","Uncertain","Agree","Uncertain","Disagree","Strongly Disagree","D/A","D/A","idk about constructive","D/A","idk about improving my learning lol","just frustrated me if anything","D/A","Very Poor","D/A","...","If he explained things better"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Fair","Very lecture heavy in class. I feel like if we took less time to review content again and again, and we instead solved problems in small groups that might help me stay more engaged.","I really liked that there was ample review baked in, there was enough redundency that skipping classes wouldn't really pose any problem.","Most learning came from the homework assignments for me and I really enjoyed them, but I would have liked for the due dates to follow the lectures a bit more closely. I think HW1 was just due too late in the semester and it felt like it put us behind for all of them."
"jcolem27","System","Agree","Agree","Uncertain","Disagree","Uncertain","Disagree","Disagree","Disagree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Fair","D/A","I find that the amount of work is good seeing that almost everything is covered in the homework/classwork","nothing"
"jcolem27","System","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Good","D/A","We do a lot of reviews and problems about the topic before moving on to the next topic. ","Having the lecture notes before the class so I can look over them during the class "
